material_id,material_name,barcode,batch_number,current_stock,threshold,unit,weight,transaction_type,quantity,user_id,rack_code,timestamp,rack_capacity,current_rack_quantity,occupancy_percentage,movement_type,source_location,destination_location,quantity_used,day_of_week,week_number,month,year,hour,weekend_flag
184,E2E-TEST-MAT-622758,BAR-1781812622764-2364,E2E-BATCH-622758,120,10,KG,120,inward,120,6,A5,2026-06-18T19:57:04.000Z,999999999,120,0,INWARD,Ingress Port,A5,0,Friday,25,6,2026,1,0
204,E2E-TEST-MAT-870084,BAR-1781818870128-9058,E2E-BATCH-870084,120,10,KG,120,inward,120,6,C1,2026-06-18T21:41:11.000Z,999999999,120,0,INWARD,Ingress Port,C1,0,Friday,25,6,2026,3,0
205,E2E-TEST-MAT-894643,BAR-1781818894673-8338,E2E-BATCH-894643,120,10,KG,120,inward,120,6,C2,2026-06-18T21:41:35.000Z,999999999,120,0,INWARD,Ingress Port,C2,0,Friday,25,6,2026,3,0
206,E2E-TEST-MAT-778713,BAR-1781819778736-2949,E2E-BATCH-778713,120,10,KG,120,inward,120,6,C3,2026-06-18T21:56:20.000Z,999999999,120,0,INWARD,Ingress Port,C3,0,Friday,25,6,2026,3,0
207,E2E-TEST-MAT-144755,BAR-1781820144774-6320,E2E-BATCH-144755,120,10,KG,120,inward,120,6,C4,2026-06-18T22:02:26.000Z,999999999,120,0,INWARD,Ingress Port,C4,0,Friday,25,6,2026,3,0
208,E2E-TEST-MAT-465554,BAR-1781820465568-6812,E2E-BATCH-465554,120,10,KG,120,inward,120,6,RACK-01,2026-06-18T22:07:46.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,25,6,2026,3,0
209,E2E-TEST-MAT-767023,BAR-1781821767076-6193,E2E-BATCH-767023,40,10,KG,40,inward,120,6,TP-A1,2026-06-18T22:29:28.000Z,999999999,40,0,INWARD,Ingress Port,TP-A1,0,Friday,25,6,2026,3,0
209,E2E-TEST-MAT-767023,BAR-1781821767076-6193,E2E-BATCH-767023,40,10,KG,40,outward,80,6,TP-A1,2026-06-18T22:29:31.000Z,999999999,40,0,OUTWARD,TP-A1,Outbound Production Line,80,Friday,25,6,2026,3,0
214,E2E-TEST-MAT-951574,BAR-1781890951607-6380,E2E-BATCH-951574,40,10,KG,40,inward,120,6,B2,2026-06-19T17:42:32.000Z,999999999,110,0,INWARD,Ingress Port,B2,0,Friday,25,6,2026,23,0
214,E2E-TEST-MAT-951574,BAR-1781890951607-6380,E2E-BATCH-951574,40,10,KG,40,outward,80,6,B2,2026-06-19T17:42:36.000Z,999999999,110,0,OUTWARD,B2,Outbound Production Line,80,Friday,25,6,2026,23,0
219,E2E-TEST-MAT-367684,BAR-1781892367704-3004,E2E-BATCH-367684,40,10,KG,40,inward,120,6,RACK-01,2026-06-19T18:06:09.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,25,6,2026,23,0
219,E2E-TEST-MAT-367684,BAR-1781892367704-3004,E2E-BATCH-367684,40,10,KG,40,outward,80,6,RACK-01,2026-06-19T18:06:12.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,80,Friday,25,6,2026,23,0
223,E2E-TEST-MAT-029734,BAR-1781893029786-8636,E2E-BATCH-029734,40,10,KG,40,inward,120,6,RACK-01,2026-06-19T18:17:11.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,25,6,2026,23,0
223,E2E-TEST-MAT-029734,BAR-1781893029786-8636,E2E-BATCH-029734,40,10,KG,40,outward,80,6,RACK-01,2026-06-19T18:17:14.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,80,Friday,25,6,2026,23,0
235,BLACK,BL002,N/A,0,10,KG,0,inward,9,6,RACK-01,2026-06-19T19:25:26.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,25,6,2026,0,1
235,BLACK,BL002,N/A,0,10,KG,0,outward,9,6,RACK-01,2026-06-19T19:26:33.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,9,Saturday,25,6,2026,0,1
242,DIYA,DI001,N/A,0,10,KG,0,inward,1000,6,RACK-01,2026-06-19T19:46:47.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,25,6,2026,1,1
242,DIYA,DI001,N/A,0,10,KG,0,outward,1000,6,RACK-01,2026-06-19T19:50:11.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,1000,Saturday,25,6,2026,1,1
252,maroon,MA001,N/A,0,10,KG,0,inward,50,6,RACK-01,2026-06-20T16:40:38.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,25,6,2026,22,1
252,maroon,MA001,N/A,0,10,KG,0,outward,50,6,RACK-01,2026-06-20T16:41:26.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,50,Saturday,25,6,2026,22,1
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-06-20T16:57:50.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,25,6,2026,22,1
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-06-20T17:23:31.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,25,6,2026,22,1
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-06-20T17:24:07.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Saturday,25,6,2026,22,1
279,PINK,PI020,N/A,30,10,KG,30,inward,30,1,A2,2026-06-20T17:34:26.000Z,999999999,540,0,INWARD,Ingress Port,A2,0,Saturday,25,6,2026,23,1
73,PINK,PI003,N/A,90,10,KG,90,inward,30,1,A2,2026-06-20T17:34:36.000Z,999999999,540,0,INWARD,Ingress Port,A2,0,Saturday,25,6,2026,23,1
73,PINK,PI003,N/A,90,10,KG,90,inward,30,1,A2,2026-06-20T17:34:36.000Z,999999999,540,0,INWARD,Ingress Port,A2,0,Saturday,25,6,2026,23,1
280,PINK,PI004,N/A,30,10,KG,30,inward,30,1,A2,2026-06-20T17:34:36.000Z,999999999,540,0,INWARD,Ingress Port,A2,0,Saturday,25,6,2026,23,1
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-06-20T17:44:36.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,25,6,2026,23,1
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-06-20T17:45:04.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Saturday,25,6,2026,23,1
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-06-20T17:45:27.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Saturday,25,6,2026,23,1
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-07-20T09:48:43.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Monday,30,7,2026,15,0
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-07-20T09:49:00.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Monday,30,7,2026,15,0
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-07-24T17:16:08.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,30,7,2026,22,0
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-07-24T17:17:03.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Friday,30,7,2026,22,0
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-07-24T17:22:58.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,30,7,2026,22,0
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-07-24T17:23:04.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Friday,30,7,2026,22,0
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-07-24T17:28:04.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Friday,30,7,2026,22,0
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-07-24T17:28:07.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Friday,30,7,2026,22,0
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-07-25T18:28:05.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,30,7,2026,23,1
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-07-25T18:28:14.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,30,7,2026,23,1
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-07-25T18:28:33.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,30,7,2026,23,1
255,white,WH001,N/A,0,10,KG,0,inward,30,6,RACK-01,2026-07-25T18:29:48.000Z,1000,0,0,INWARD,Ingress Port,RACK-01,0,Saturday,30,7,2026,23,1
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-07-25T18:31:15.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Sunday,30,7,2026,0,1
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-07-25T18:31:21.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Sunday,30,7,2026,0,1
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-07-25T18:31:25.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Sunday,30,7,2026,0,1
255,white,WH001,N/A,0,10,KG,0,outward,30,6,RACK-01,2026-07-25T18:31:29.000Z,1000,0,0,OUTWARD,RACK-01,Outbound Production Line,30,Sunday,30,7,2026,0,1
291,Mehrom,ME004,N/A,102,10,KG,102,inward,51,6,E1,2026-07-25T19:20:49.000Z,999999999,357,0,INWARD,Ingress Port,E1,0,Sunday,30,7,2026,0,1
292,Mehrom,ME002,N/A,51,10,KG,51,inward,51,6,E1,2026-07-25T19:20:53.000Z,999999999,357,0,INWARD,Ingress Port,E1,0,Sunday,30,7,2026,0,1
293,Mehrom,ME003,N/A,51,10,KG,51,inward,51,6,E1,2026-07-25T19:20:56.000Z,999999999,357,0,INWARD,Ingress Port,E1,0,Sunday,30,7,2026,0,1
291,Mehrom,ME004,N/A,102,10,KG,102,inward,51,6,E1,2026-07-25T19:21:02.000Z,999999999,357,0,INWARD,Ingress Port,E1,0,Sunday,30,7,2026,0,1
294,Mehrom,ME005,N/A,51,10,KG,51,inward,51,6,E1,2026-07-25T19:21:05.000Z,999999999,357,0,INWARD,Ingress Port,E1,0,Sunday,30,7,2026,0,1
295,Mehrom,ME006,N/A,102,10,KG,102,inward,51,6,E1,2026-07-25T19:21:09.000Z,999999999,357,0,INWARD,Ingress Port,E1,0,Sunday,30,7,2026,0,1
295,Mehrom,ME006,N/A,102,10,KG,102,inward,51,6,E1,2026-07-25T19:24:05.000Z,999999999,357,0,INWARD,Ingress Port,E1,0,Sunday,30,7,2026,0,1
296,SKIN,SK001,N/A,7000,10,KG,7000,inward,1000,6,E2,2026-07-25T19:26:48.000Z,999999999,7000,0,INWARD,Ingress Port,E2,0,Sunday,30,7,2026,0,1
296,SKIN,SK001,N/A,7000,10,KG,7000,inward,1000,6,E2,2026-07-25T19:26:54.000Z,999999999,7000,0,INWARD,Ingress Port,E2,0,Sunday,30,7,2026,0,1
296,SKIN,SK001,N/A,7000,10,KG,7000,inward,1000,6,E2,2026-07-25T19:27:00.000Z,999999999,7000,0,INWARD,Ingress Port,E2,0,Sunday,30,7,2026,0,1
296,SKIN,SK001,N/A,7000,10,KG,7000,inward,1000,6,E2,2026-07-25T19:27:07.000Z,999999999,7000,0,INWARD,Ingress Port,E2,0,Sunday,30,7,2026,0,1
296,SKIN,SK001,N/A,7000,10,KG,7000,inward,1000,6,E2,2026-07-25T19:27:17.000Z,999999999,7000,0,INWARD,Ingress Port,E2,0,Sunday,30,7,2026,0,1
296,SKIN,SK001,N/A,7000,10,KG,7000,inward,1000,6,E2,2026-07-25T19:27:23.000Z,999999999,7000,0,INWARD,Ingress Port,E2,0,Sunday,30,7,2026,0,1
296,SKIN,SK001,N/A,7000,10,KG,7000,inward,1000,6,E2,2026-07-25T19:28:51.000Z,999999999,7000,0,INWARD,Ingress Port,E2,0,Sunday,30,7,2026,0,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:37:02.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:37:12.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:37:21.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:37:29.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:37:36.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:38:52.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:39:00.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:39:06.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
297,Cherry Red,CR002,N/A,4500,10,KG,4500,inward,500,6,E3,2026-07-25T19:39:16.000Z,999999999,4500,0,INWARD,Ingress Port,E3,0,Sunday,30,7,2026,1,1
